pseudoID,submitdate,lastpage,startlanguage,seed,token,startdate,datestamp,refurl,timePoint,studyGroup,AppName,Bew1,Bew2,Bew3,Bew4,Bew5,Bew6,STG,Einv,Habit[Habit1],Habit[Habit2],Habit[Habit3],Habit[Habit4],Intention1[Int1],Intention2[Int2],Intention3[Int3],Att1[Att1],Att2[Att2],Att3[Att3],Att4[Att4],Att5[Att5],Norm1[Norm1],Norm2[Norm2],Norm3[Norm3],ACheck1[ACheck1],Norm4[Norm4],Norm5[Norm5],Norm6[Norm6],Control1[Con1],Control2[Con2],Control3[Con3],Control4[Con4],KIM[IntVer1],KIM[IntVer2],KIM[IntVer3],KIM[wKomp1],KIM[wKomp2],KIM[wKomp3],KIM[wWahl1],KIM[wWahl2],KIM[wWahl3],KIM[DrAn1],KIM[DrAn2],KIM[DrAn3],KIM[ACheck2],MotivComp[MotivComp1],MotivComp[MotivComp2],MotivComp[MotivComp3],MotivComp[MotivComp4],VolSelf[VolSelf1],VolSelf[VolSelf2],VolSelf[VolSelf3],ActionPlan[ActionPlan1],ActionPlan[ActionPlan2],ActionPlan[ActionPlan3],ActionPlan[ActionPlan4],AppUseStudy,AppUseDays,TransferAppDetail,TAM[WA1],TAM[WA2],TAM[WA3],TAM[WN1],TAM[WN2],TAM[WN3],TAM[WN4],TAM[WB1],TAM[WB2],TAM[WB3],TAM[WB4],TAM[WF1],TAM[WF2],TAM[WF3],TAM[WF4],TAM[WV1],TAM[WV2],TAM[WV3],TAM[WV4],TAM[NI1],TAM[NI2],TAM[NI3],TAM[NI4],QualPos,QualNeg,otherAppUse,QualOthApp,SystemLink,interviewtime,groupTime19505,timePointTime,groupTime19506,randomGroupTime,studyGroupTime,AppNameTime,groupTime19495,Bew1Time,Bew2Time,Bew3Time,Bew4Time,Bew5Time,Bew6Time,STGTime,groupTime19492,EinvTime,groupTime19494,HabitTime,groupTime19496,Intention1Time,Intention2Time,Intention3Time,groupTime19497,Att1Time,Att2Time,Att3Time,Att4Time,Att5Time,groupTime19498,Norm1Time,Norm2Time,Norm3Time,ACheck1Time,Norm4Time,Norm5Time,Norm6Time,groupTime19499,Control1Time,Control2Time,Control3Time,Control4Time,groupTime20005,KIMTime,groupTime20006,MotivCompTime,groupTime20007,VolSelfTime,groupTime20008,ActionPlanTime,groupTime19504,AppUseStudyTime,AppUseDaysTime,TransferAppDetailTime,groupTime19503,TAMTime,QualPosTime,QualNegTime,groupTime19507,otherAppUseTime,QualOthAppTime,groupTime19502,SystemLinkTime,eMailIGTime,eMailKGTime,NameTime,PhoneSystemTime,attention_check_correct_count,attention_check_failed
5BK8XEM5,2026-04-21 11:52:00,17.0,de,503279010.0,PB6EXWQ8,2026-04-21 11:52:00,2026-04-21 11:52:00,https://www.spw.unibe.ch/limesurvey/index.php/admin/tokens/sa/index/surveyid/356443,2,84,Gesundheits-App,0 Tage,,0 Tage,,0 Tage,,"Nein, und ich plane auch nicht, in den nächsten 6 Monaten mit regelmässiger körperlicher Aktivität zu starten.",N. v.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 - stimmt ziemlich,,,,,,,,,,,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,Android: https://play.google.com/store/apps/details?id=ai.gymian.alife | iOS: https://apps.apple.com/ch/app/alife-dein-ki-coach/id6756587565,40.39,,,,,,,6.41,,,,,,,,,,3.26,,1.39,,,,3.19,,,,,,3.64,,,,,,,,1.63,,,,,7.75,,1.06,,2.75,,1.71,,5.5,,,,,,,,2.1,,,,,,,,,1,False
GVE8FS35,2026-04-21 11:53:00,17.0,de,792842663.0,D54L1IFF,2026-04-21 11:53:00,2026-04-21 11:53:00,https://www.spw.unibe.ch/limesurvey/index.php/admin/tokens/sa/index/surveyid/356443,2,68,Studien KI-App,0 Tage,,0 Tage,,0 Tage,,"Nein, und ich plane auch nicht, in den nächsten 6 Monaten mit regelmässiger körperlicher Aktivität zu starten.",N. v.,,,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,3 - stimmt ziemlich,,,,,,,,,,,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,Android: https://play.google.com/store/apps/details?id=ai.gymian.alife | iOS: https://apps.apple.com/ch/app/alife-dein-ki-coach/id6756587565,32.25,,,,,,,6.31,,,,,,,,,,2.66,,1.03,,,,3.37,,,,,,1.87,,,,,,,,1.19,,,,,3.11,,2.94,,2.74,,1.49,,3.29,,,,,,,,2.25,,,,,,,,,2,False
L3Q96HPC,,,,,,,,,2,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,True
D97L7KTU,,,,,,,,,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,True
0GAR66P2,,,,,,,,,2,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,True
G2IPPRLI,,,,,,,,,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,True
